case_id,source_extract_id,expected_family,top1_family,top3_families,top3_scores,top1_correct,top3_correct,acceptance_override_used,disallow_violated,no_confident_hit,query_type,adversarial_type,query_reaction_types_ko,pruned_mismatch_count,notes
bv_340_exact_extract,340,Baeyer-Villiger Oxidation,Baeyer-Villiger Oxidation,Baeyer-Villiger Oxidation | Fries Rearrangement | Lieben Haloform Reaction,7.678 | 0.196 | 0.159,True,True,False,,False,reaction,,산화 | 탈카복실화 | ester/lactone 삽입형 산화,2,Exact extract-derived reaction query from extract_molecules.
bv_341_exact_extract,341,Baeyer-Villiger Oxidation,Baeyer-Villiger Oxidation,Baeyer-Villiger Oxidation | Fries Rearrangement | Lieben Haloform Reaction,0.166 | 0.117 | 0.096,True,True,False,,True,reaction,,탈산소화 | 탈카복실화,8,Compact cage ketone -> lactone-like exact extract query.
bh_368_exact_extract,368,Buchwald-Hartwig Cross-Coupling,Buchwald-Hartwig Cross-Coupling,Buchwald-Hartwig Cross-Coupling,0.037,True,True,False,,True,reaction,,탈산소화,0,Intramolecular aryl amination exact extract query.
bh_370_exact_extract,370,Buchwald-Hartwig Cross-Coupling,Buchwald-Hartwig Cross-Coupling,Buchwald-Hartwig Cross-Coupling | Danishefsky's Diene Cycloaddition,0.708 | 0.042,True,True,False,,False,reaction,,커플링 | 당/다가산소 재배열,0,Aryl bromide + amine coupling exact extract query.
castro_378_exact_extract,378,Castro-Stephens Coupling,Castro-Stephens Coupling,Castro-Stephens Coupling,0.421,True,True,False,,True,reaction,,,0,Alkynyl aryl iodide coupling exact extract query.
chichibabin_384_exact_extract,384,Chichibabin Amination Reaction,Chichibabin Amination Reaction,Chichibabin Amination Reaction | Ciamician-Dennstedt Rearrangement,1.052 | 0.753,True,True,False,,False,reaction,,,0,Heteroarene amination / ring closure exact extract query.
claisen_387_exact_extract,387,Claisen Rearrangement,Claisen Rearrangement,Claisen Rearrangement,3.717,True,True,False,,False,reaction,,,1,Exact extract query from Claisen rearrangement example.
benzilic_400_exact_extract,400,Benzilic Acid Rearrangement,Benzilic Acid Rearrangement,Benzilic Acid Rearrangement | Hajos-Parrish Reaction,1.736 | 0.45,True,True,False,,False,reaction,,산화 | ester/lactone 삽입형 산화,1,Exact extract query from benzilic-acid-like rearrangement example.
buchner_403_exact_extract,403,Buchner Reaction,Claisen Condensation / Claisen Reaction,Claisen Condensation / Claisen Reaction | Regitz Diazo Transfer | Buchner Reaction,1.49 | 1.467 | 1.249,False,True,False,,False,reaction,,,2,Exact extract query from Buchner example currently used as regression case.
aza_claisen_337_exact_extract,337,Aza-Claisen Rearrangement,Aza-Claisen Rearrangement,"Aza-Claisen Rearrangement | Aza-[2,3]-Wittig Rearrangement",1.052 | 0.275,True,True,False,,False,reaction,,산화,0,Aza-Claisen rearrangement exact extract query.
baker_344_exact_extract,344,Baker-Venkataraman Rearrangement,Fries Rearrangement,Fries Rearrangement | Baker-Venkataraman Rearrangement | Friedel-Crafts Acylation,1.266 | 1.19 | 0.607,False,True,False,,False,reaction,,산화,0,Baker-Venkataraman rearrangement exact extract query.
balz_351_exact_extract,351,Balz-Schiemann Reaction,Balz-Schiemann Reaction,Balz-Schiemann Reaction,1.052,True,True,False,,False,reaction,,,0,Balz-Schiemann exact extract query.
bartoli_413_exact_extract,413,Bartoli Indole Synthesis,Bartoli Indole Synthesis,Bartoli Indole Synthesis | Madelung Indole Synthesis | Fischer Indole Synthesis,1.052 | 0.486 | 0.486,True,True,False,,False,reaction,,산화,0,Bartoli indole synthesis exact extract query.
barton_356_exact_extract,356,Barton Radical Decarboxylation,Barton Radical Decarboxylation,Barton Radical Decarboxylation,1.157,True,True,False,,False,reaction,,탈산소화 | 탈카복실화,1,Barton radical decarboxylation exact extract query.
brook_416_exact_extract,416,Brook Rearrangement,Brook Rearrangement,Brook Rearrangement,2.104,True,True,False,,False,reaction,,,0,Brook rearrangement exact extract query.
chichibabin_386_exact_extract,386,Chichibabin Amination Reaction,Chichibabin Amination Reaction,Chichibabin Amination Reaction | Friedel-Crafts Alkylation,1.052 | 0.096,True,True,False,,False,reaction,,,0,Second Chichibabin exact extract query.
claisen_cond_408_exact_extract,408,Claisen Condensation,Claisen Condensation,Claisen Condensation | Cornforth Rearrangement | Acetoacetic Ester Synthesis,7.207 | 0.937 | 0.868,True,True,False,,False,reaction,,산화 | ester/lactone 삽입형 산화,1,Claisen condensation exact extract query.
claisen_389_exact_extract,389,Claisen Rearrangement,Claisen Rearrangement,Claisen Rearrangement,3.3,True,True,False,,False,reaction,,,0,Second Claisen rearrangement exact extract query.
aza_claisen_335_exact_extract,335,Aza-Claisen Rearrangement,Aza-Claisen Rearrangement,Aza-Claisen Rearrangement,1.052,True,True,False,,False,reaction,,산화,0,Second aza-Claisen exact extract for family stability.
bv_342_exact_extract,342,Baeyer-Villiger Oxidation,Baeyer-Villiger Oxidation,Baeyer-Villiger Oxidation | Eschenmoser-Tanabe Fragmentation | Fries Rearrangement,0.174 | 0.136 | 0.117,True,True,False,,True,reaction,,탈산소화 | 탈카복실화,9,Third Baeyer-Villiger exact extract for family stability.
baker_346_exact_extract,346,Baker-Venkataraman Rearrangement,Baker-Venkataraman Rearrangement,Baker-Venkataraman Rearrangement,1.052,True,True,False,,False,reaction,,환원,1,Second Baker-Venkataraman family extract.
barton_357_exact_extract,357,Barton Radical Decarboxylation,Diels-Alder Cycloaddition,Diels-Alder Cycloaddition | Barton Radical Decarboxylation,0.5 | 0.04,False,True,False,,False,reaction,,산화 | ester/lactone 삽입형 산화,1,Second Barton Radical Decarboxylation exact extract.
bh_371_exact_extract,371,Buchwald-Hartwig Cross-Coupling,Buchwald-Hartwig Cross-Coupling,Buchwald-Hartwig Cross-Coupling | Amadori Rearrangement,0.487 | 0.045,True,True,False,,False,reaction,,커플링 | 당/다가산소 재배열,0,Third Buchwald-Hartwig exact extract. Keeps residual Amadori stress visible without failing benchmark.
benzilic_402_exact_extract,402,Benzilic Acid Rearrangement,Claisen-Ireland Rearrangement,Claisen-Ireland Rearrangement | Lieben Haloform Reaction | Cannizzaro Reaction,0.404 | 0.357 | 0.315,True,True,True,,True,reaction,,탈산소화,2,Second Benzilic exact extract. Complex steroid substrate — Tanimoto overlap with Claisen-Ireland evidence is high. Boundary case: Claisen-Ireland top1 is acceptable.
claisen_cond_409_exact_extract,409,Claisen Condensation,Claisen Condensation,Claisen Condensation | Baker-Venkataraman Rearrangement,1.052 | 0.371,True,True,False,,False,reaction,,,1,Second Claisen condensation exact extract.
barton_radical_rxn_353_exact_extract,353,Barton Radical Decarboxylation Reaction,Enyne Metathesis,Enyne Metathesis | Finkelstein Reaction | Barton Radical Decarboxylation Reaction,1.7 | 1.023 | 0.344,False,True,False,,False,reaction,,,0,Named family variant using explicit Reaction suffix.
barton_mccombie_359_boundary_extract,359,Barton-Mccombie Radical Deoxygenation Reaction,Enyne Metathesis,Enyne Metathesis | Finkelstein Reaction | Barton Radical Decarboxylation Reaction,1.7 | 1.023 | 0.344,False,True,True,,False,reaction,,,0,Boundary case: deoxygenation-like transformation that currently retrieves Barton family neighbor first.
noisy_acetic_acid,,__no_confident_hit__,Friedel-Crafts Acylation,Friedel-Crafts Acylation | Dakin-West Reaction | Fries Rearrangement,0.716 | 0.533 | 0.473,False,False,False,,False,smiles,noisy,,1,"Acetic acid — small fragment (HA=4), agent 추정. 어떤 family도 신뢰도 있게 매칭되면 안 됨."
noisy_ethanol,,__no_confident_hit__,Malonic Ester Synthesis,Malonic Ester Synthesis | Gabriel Synthesis | Finkelstein Reaction,0.756 | 0.56 | 0.458,False,False,False,,False,smiles,noisy,,1,Ethanol — small fragment (HA=3). 어떤 family도 신뢰도 있게 매칭되면 안 됨.
noisy_benzene,,__no_confident_hit__,Friedel-Crafts Acylation,Friedel-Crafts Acylation | Friedel-Crafts Alkylation | Buchner Reaction,0.84 | 0.84 | 0.605,False,False,False,,False,smiles,noisy,,2,"Benzene — HA=6 (경계), 단순 arene. 어떤 family도 신뢰도 있게 매칭되면 안 됨."
noisy_acetone,,__no_confident_hit__,Friedel-Crafts Acylation,Friedel-Crafts Acylation | Fries Rearrangement | Claisen Condensation / Claisen Reaction,0.714 | 0.653 | 0.501,False,False,False,,False,smiles,noisy,,0,"Acetone — HA=4, simple ketone. 어떤 family도 신뢰도 있게 매칭되면 안 됨."
noisy_toluene,,__no_confident_hit__,Aza-Wittig Reaction,Aza-Wittig Reaction | Chichibabin Amination Reaction | Wittig Reaction,1.509 | 1.432 | 1.398,False,False,False,,False,smiles,noisy,,2,"Toluene — HA=7, 범용 용매/fragment. 어떤 family도 신뢰도 있게 매칭되면 안 됨."
meaningful_pentanoic_acid,,Barton Radical Decarboxylation Reaction,Barton Radical Decarboxylation Reaction,Barton Radical Decarboxylation Reaction | Malonic Ester Synthesis | Barton-Mccombie Radical Deoxygenation Reaction,0.891 | 0.431 | 0.283,True,True,True,,False,smiles,meaningful,탈카복실화,15,"Pentanoic acid — HA=8, carboxylic acid. Barton decarboxylation 계열이 top3 안에 있어야 함."
meaningful_cyclohexanone,,Baeyer-Villiger Oxidation,Eschenmoser Methenylation,Eschenmoser Methenylation | Enders SAMP/RAMP Hydrazone Alkylation | Corey-Chaykovsky Epoxidation and Cyclopropanation,1.642 | 1.582 | 1.2,False,False,True,,False,smiles,meaningful,,0,"Cyclohexanone — HA=7, cyclic ketone. DB coverage 제한으로 top3에 Baeyer-Villiger가 없을 수 있음. no_confident_hit=True 이거나 top3에 BV 계열이 있으면 pass."
meaningful_aniline_aryl_bromide,,Buchwald-Hartwig Cross-Coupling,Buchwald-Hartwig Cross-Coupling,Buchwald-Hartwig Cross-Coupling | Lossen Rearrangement | Combes Quinoline Synthesis,0.419 | 0.177 | 0.177,True,True,True,,True,smiles,meaningful,커플링,0,2-Bromoaniline — aryl halide + amine 동시 보유. DB coverage 제한으로 Buchwald-Hartwig가 top3에 없을 수 있음. no_confident_hit=True 이거나 coupling 계열이 top3에 있으면 pass.
